iter	RMSE
0	2753.883857
1	2748.853397
2	2745.948616
3	2745.948592
4	2735.578012
5	2730.844905
6	2730.84485
7	2730.844797
8	2726.283818
9	2722.749482
10	2722.749433
11	2722.749387
12	2716.160452
13	2716.160355
14	2716.160262
15	2716.160173
16	2711.211052
17	2709.355489
18	2705.188593
19	2705.188414
20	2700.163589
21	2700.163323
22	2697.38869
23	2692.610839
24	2685.928266
25	2685.927879
26	2685.927507
27	2683.93332
28	2679.668989
29	2679.668707
30	2674.962391
31	2671.409339
32	2671.408985
33	2671.408646
34	2667.494297
35	2667.493928
36	2665.168507
37	2659.241943
38	2659.241577
39	2652.118374
40	2652.117993
41	2652.117627
42	2652.117276
43	2650.058335
44	2645.248606
45	2645.248252
46	2640.983523
47	2640.983132
48	2640.982756
49	2640.982395
50	2640.982048
51	2640.981715
52	2636.743403
53	2634.54521
54	2632.52661
55	2632.526047
56	2626.721423
57	2626.720844
58	2621.519353
59	2619.981509
60	2617.952539
61	2611.5002
62	2611.499632
63	2608.321995
64	2605.983896
65	2605.983332
66	2603.526232
67	2603.525749
68	2599.12958
69	2599.129134
70	2597.635227
71	2597.634824
72	2595.106861
73	2595.1065
74	2592.049775
75	2589.177521
76	2587.926539
77	2587.926078
78	2585.526041
79	2584.843161
80	2583.151847
81	2583.151346
82	2581.340732
83	2581.340217
84	2581.339723
85	2581.339247
86	2579.791889
87	2578.245852
88	2574.731765
89	2571.895875
90	2571.895432
91	2569.68178
92	2567.213675
93	2567.213251
94	2565.900715
95	2565.900309
96	2564.193714
97	2559.363818
98	2559.363419
99	2559.363035
100	2557.293321
101	2557.29296
102	2555.746797
103	2553.193463
104	2553.193092
105	2553.192735
106	2553.192392
107	2553.192063
108	2550.179686
109	2548.85822
110	2548.857953
111	2547.734945
112	2547.734696
113	2544.042503
114	2541.785867
115	2539.373765
116	2539.37351
117	2538.627331
118	2538.627092
119	2537.678652
120	2536.012154
121	2536.011869
122	2532.112097
123	2532.111756
124	2532.111429
125	2530.678775
126	2530.678468
127	2529.354453
128	2529.354141
129	2529.353841
130	2527.29553
131	2527.295245
132	2526.957904
133	2525.786939
134	2525.786711
135	2525.786491
136	2525.78628
137	2524.676051
138	2524.675849
139	2522.819372
140	2522.819193
141	2521.914586
142	2519.608978
143	2516.166315
144	2515.668291
145	2514.224438
146	2514.224171
147	2511.680748
148	2511.159603
149	2511.159362
150	2510.022492
151	2509.214173
152	2508.16306
153	2505.273207
154	2504.062808
155	2504.062567
156	2504.062335
157	2501.909225
158	2501.909027
159	2501.908837
160	2501.908655
161	2500.96784
162	2500.967664
163	2500.967494
164	2499.986059
165	2499.985883
166	2499.985714
167	2497.064222
168	2495.229584
169	2493.916447
170	2493.916368
171	2492.858659
172	2490.213552
173	2490.213482
174	2490.213415
175	2489.176178
176	2487.784068
177	2485.460927
178	2484.216284
179	2484.216197
180	2483.838208
181	2482.823846
182	2482.029583
183	2482.029491
184	2482.029403
185	2480.189367
186	2480.189259
187	2479.148938
188	2478.208678
189	2478.208566
190	2478.208458
191	2477.912448
192	2477.912373
193	2477.9123
194	2477.91223
195	2476.686797
196	2476.68673
197	2476.686665
198	2476.686602
199	2475.840528
200	2475.009381
201	2475.00931
202	2474.218782
203	2473.225907
204	2473.225839
205	2472.434315
206	2469.323118
207	2469.32301
208	2469.322907
209	2469.322807
210	2469.322711
211	2468.390488
212	2468.390397
213	2468.390309
214	2468.204275
215	2467.458596
216	2467.458508
217	2466.757907
218	2466.757812
219	2464.438594
220	2464.362972
221	2463.11605
222	2460.16331
223	2460.163236
224	2460.163166
225	2460.163098
226	2460.163032
227	2460.16297
228	2460.16291
229	2459.570158
230	2459.5701
231	2459.209605
232	2455.583625
233	2455.14851
234	2454.670142
235	2454.670039
236	2452.881095
237	2452.880963
238	2452.491968
239	2452.319475
240	2452.319385
241	2452.319299
242	2449.772757
243	2449.772636
244	2449.77252
245	2449.772408
246	2449.772301
247	2449.06443
248	2449.056171
249	2446.685555
250	2442.579719
251	2442.256491
252	2442.256452
253	2441.331291
254	2441.331261
255	2440.659889
256	2440.003032
257	2438.136148
258	2437.775833
259	2437.374723
260	2435.89231
261	2435.892296
262	2435.892282
263	2435.892269
264	2435.567502
265	2433.146918
266	2433.146913
267	2433.146908
268	2433.146904
269	2433.1469
270	2431.524259
271	2431.208826
272	2430.80485
273	2430.80485
274	2430.212044
275	2429.884511
276	2429.88451
277	2429.326202
278	2427.346193
279	2425.811324
280	2425.811317
281	2425.81131
282	2425.811303
283	2425.811297
284	2424.641595
285	2424.64159
286	2424.641586
287	2424.333137
288	2424.333133
289	2424.210887
290	2421.414007
291	2419.636225
292	2418.325333
293	2417.246465
294	2415.626369
295	2414.617901
296	2414.617875
297	2414.207538
298	2414.207508
299	2413.583519
300	2413.583475
301	2413.583433
302	2413.583392
303	2413.583353
304	2413.268389
305	2410.599523
306	2407.260571
307	2407.260462
308	2405.883672
309	2405.883601
310	2405.307891
311	2404.9034
312	2404.903346
313	2404.903294
314	2404.447444
315	2404.447398
316	2404.447354
317	2404.447311
318	2404.176634
319	2401.63277
320	2401.632694
321	2400.741473
322	2400.741424
323	2400.741377
324	2400.741332
325	2398.897175
326	2398.424383
327	2397.454526
328	2396.455581
329	2396.007454
330	2394.139139
331	2392.772764
332	2392.531014
333	2392.314073
334	2392.014748
335	2392.014715
336	2392.014683
337	2390.641183
338	2390.290555
339	2390.290512
340	2390.29047
341	2390.29043
342	2390.290392
343	2390.290355
344	2390.290319
345	2390.290285
346	2389.167499
347	2388.333839
348	2388.050182
349	2388.032943
350	2388.032867
351	2386.227826
352	2385.934961
353	2385.214825
354	2385.214801
355	2385.214777
356	2383.361834
357	2383.170531
358	2382.886484
359	2382.886469
360	2382.605478
361	2382.605472
362	2382.465878
363	2380.001171
364	2380.001169
365	2380.001167
366	2380.001165
367	2380.001164
368	2379.725776
369	2379.453325
370	2379.453324
371	2379.10649
372	2378.836532
373	2378.836526
374	2378.569429
375	2378.569416
376	2378.569404
377	2378.569393
378	2378.569382
379	2376.330656
380	2376.33065
381	2376.068653
382	2376.06864
383	2374.743129
384	2374.743125
385	2374.743121
386	2374.743117
387	2374.743113
388	2374.743109
389	2374.743105
390	2374.743102
391	2374.605218
392	2374.605212
393	2374.605207
394	2374.605201
395	2374.605196
396	2374.605192
397	2374.605187
398	2374.605182
399	2374.605178
400	2373.491877
401	2372.656338
402	2371.93881
403	2371.686086
404	2371.431775
405	2370.336274
406	2370.336271
407	2370.336268
408	2370.08556
409	2369.837529
410	2369.592142
411	2369.349365
412	2369.349357
413	2369.349348
